课程1,课程2,相似度
.NET程序设计A.txt,数据库原理与应用1_mooc.txt,0.2984
.NET程序设计A.txt,数据库原理与应用2.txt,0.1331
.NET程序设计A.txt,数据库原理与应用2_mooc.txt,0.2278
.NET程序设计A.txt,数据结构1.txt,0.0583
.NET程序设计A.txt,数据结构1_mooc.txt,0.0735
.NET程序设计A.txt,数据结构2.txt,0.1923
.NET程序设计A.txt,数据结构2_mooc.txt,0.2472
.NET程序设计A.txt,概率论与数理统计.txt,0.2787
.NET程序设计A.txt,概率论与数理统计_mooc.txt,0.2683
.NET程序设计A.txt,游戏程序设计.txt,0.2012
.NET程序设计A.txt,游戏程序设计_mooc.txt,0.1885
.NET程序设计A.txt,知识产权与软件保护.txt,0.2306
.NET程序设计A.txt,知识产权与软件保护_mooc.txt,0.2796
.NET程序设计A.txt,离散数学.txt,0.3198
.NET程序设计A.txt,离散数学_mooc.txt,0.1993
.NET程序设计A.txt,算法设计与分析.txt,0.0910
.NET程序设计A.txt,算法设计与分析_mooc.txt,0.2996
.NET程序设计A.txt,线性代数1.txt,0.1757
.NET程序设计A.txt,线性代数1_mooc.txt,0.2277
.NET程序设计A.txt,线性代数2.txt,0.2677
.NET程序设计A.txt,线性代数2_mooc.txt,0.1316
.NET程序设计A.txt,线性代数3.txt,0.2638
.NET程序设计A.txt,线性代数3_mooc.txt,0.0228
.NET程序设计A.txt,线性代数4.txt,0.1903
.NET程序设计A.txt,线性代数4_mooc.txt,0.2492
.NET程序设计A.txt,线性代数5.txt,0.0358
.NET程序设计A.txt,线性代数5_mooc.txt,0.3011
.NET程序设计A.txt,编译原理1.txt,0.0552
.NET程序设计A.txt,编译原理1_mooc.txt,0.1589
.NET程序设计A.txt,编译原理2.txt,0.1828
.NET程序设计A.txt,编译原理2_mooc.txt,0.2157
.NET程序设计A.txt,计算机导论.txt,0.2674
.NET程序设计A.txt,计算机导论_mooc.txt,0.1511
.NET程序设计A.txt,计算机网络A.txt,0.2377
.NET程序设计A.txt,计算机网络A_mooc.txt,0.1072
.NET程序设计A.txt,软件企业管理与文化.txt,0.4223
.NET程序设计A.txt,软件企业管理与文化_mooc.txt,0.2262
.NET程序设计A.txt,软件开发与测试实训.txt,0.3913
.NET程序设计A.txt,软件开发与测试实训_mooc.txt,0.2608
.NET程序设计A.txt,软件测试技术.txt,0.2631
.NET程序设计A.txt,软件测试技术_mooc.txt,0.2608
.NET程序设计A.txt,软件设计.txt,0.2033
.NET程序设计A.txt,软件设计_mooc.txt,0.2249
.NET程序设计A.txt,软件项目管理.txt,0.1815
.NET程序设计A.txt,软件项目管理_mooc.txt,0.1298
.NET程序设计A.txt,需求工程与UML建模.txt,0.2119
.NET程序设计A.txt,需求工程与UML建模_mooc.txt,0.4300
.NET程序设计A.txt,面向对象程序设计C++（A）.txt,0.2005
.NET程序设计A.txt,面向对象程序设计C++（A）_mooc.txt,0.3374
.NET程序设计A.txt,高级语言程序设计与算法初步（C语言）.txt,0.2429
.NET程序设计A.txt,高级语言设计与算法初步（C语言）_mooc.txt,0.3199
.NET程序设计A.txt,高级软件工程.txt,0.2853
.NET程序设计A.txt,高级软件工程_mooc.txt,0.3187
.NET程序设计A_mooc.txt,.NET程序设计A.txt,0.4435
.NET程序设计A_mooc.txt,.NET程序设计A_mooc.txt,0.7791
.NET程序设计A_mooc.txt,CC++语言程序设计.txt,0.2372
.NET程序设计A_mooc.txt,CC++语言程序设计_mooc.txt,0.3921
.NET程序设计A_mooc.txt,IT基础实训.txt,0.3554
.NET程序设计A_mooc.txt,IT基础实训_mooc.txt,0.1857
.NET程序设计A_mooc.txt,J2EE框架.txt,0.3038
.NET程序设计A_mooc.txt,J2EE框架_mooc.txt,0.3881
.NET程序设计A_mooc.txt,Java框架.txt,0.2152
.NET程序设计A_mooc.txt,Java框架_mooc.txt,0.3547
.NET程序设计A_mooc.txt,JAVA程序设计A.txt,0.3127
.NET程序设计A_mooc.txt,JAVA程序设计A_mooc.txt,0.3547
.NET程序设计A_mooc.txt,Linux程序设计.txt,0.2601
.NET程序设计A_mooc.txt,Linux程序设计_mooc.txt,0.2161
.NET程序设计A_mooc.txt,oracle数据库.txt,0.4334
.NET程序设计A_mooc.txt,oracle数据库_mooc.txt,0.0765
.NET程序设计A_mooc.txt,python语言程序设计.txt,0.0928
.NET程序设计A_mooc.txt,python语言程序设计_mooc.txt,0.0829
.NET程序设计A_mooc.txt,Visual C++程序设计.txt,0.3569
.NET程序设计A_mooc.txt,Visual C++程序设计_mooc.txt,0.6618
.NET程序设计A_mooc.txt,Web开发基础与JSP.txt,0.2395
.NET程序设计A_mooc.txt,Web开发基础与JSP_mooc.txt,0.2146
.NET程序设计A_mooc.txt,人机交互技术.txt,0.3616
.NET程序设计A_mooc.txt,人机交互技术_mooc.txt,0.1561
.NET程序设计A_mooc.txt,信息安全A.txt,0.3222
.NET程序设计A_mooc.txt,信息安全A_mooc.txt,0.2359
.NET程序设计A_mooc.txt,嵌入式开发环境与工具.txt,0.3540
.NET程序设计A_mooc.txt,嵌入式开发环境与工具_mooc.txt,0.2755
.NET程序设计A_mooc.txt,嵌入式系统开发.txt,0.1826
.NET程序设计A_mooc.txt,嵌入式系统开发_mooc.txt,0.2828
.NET程序设计A_mooc.txt,微机原理与接口技术.txt,0.2158
.NET程序设计A_mooc.txt,微机原理与接口技术_mooc.txt,0.1853
.NET程序设计A_mooc.txt,操作系统原理1.txt,0.2172
.NET程序设计A_mooc.txt,操作系统原理1_mooc.txt,0.2583
.NET程序设计A_mooc.txt,操作系统原理2.txt,0.2669
.NET程序设计A_mooc.txt,操作系统原理2_mooc.txt,0.2433
.NET程序设计A_mooc.txt,数字逻辑电路.txt,0.3066
.NET程序设计A_mooc.txt,数字逻辑电路_mooc.txt,0.3946
.NET程序设计A_mooc.txt,数据库原理与应用1.txt,0.2193
.NET程序设计A_mooc.txt,数据库原理与应用1_mooc.txt,0.4383
.NET程序设计A_mooc.txt,数据库原理与应用2.txt,0.1983
.NET程序设计A_mooc.txt,数据库原理与应用2_mooc.txt,0.3369
.NET程序设计A_mooc.txt,数据结构1.txt,0.1200
.NET程序设计A_mooc.txt,数据结构1_mooc.txt,0.4198
.NET程序设计A_mooc.txt,数据结构2.txt,0.2665
.NET程序设计A_mooc.txt,数据结构2_mooc.txt,0.3601
.NET程序设计A_mooc.txt,概率论与数理统计.txt,0.2126
.NET程序设计A_mooc.txt,概率论与数理统计_mooc.txt,0.2167
.NET程序设计A_mooc.txt,游戏程序设计.txt,0.2658
.NET程序设计A_mooc.txt,游戏程序设计_mooc.txt,0.1728
.NET程序设计A_mooc.txt,知识产权与软件保护.txt,0.2570
.NET程序设计A_mooc.txt,知识产权与软件保护_mooc.txt,0.2517
.NET程序设计A_mooc.txt,离散数学.txt,0.2309
.NET程序设计A_mooc.txt,离散数学_mooc.txt,0.1286
.NET程序设计A_mooc.txt,算法设计与分析.txt,-0.0179
.NET程序设计A_mooc.txt,算法设计与分析_mooc.txt,0.2099
.NET程序设计A_mooc.txt,线性代数1.txt,0.1270
.NET程序设计A_mooc.txt,线性代数1_mooc.txt,0.2035
.NET程序设计A_mooc.txt,线性代数2.txt,0.4189
.NET程序设计A_mooc.txt,线性代数2_mooc.txt,0.2925
.NET程序设计A_mooc.txt,线性代数3.txt,0.4224
.NET程序设计A_mooc.txt,线性代数3_mooc.txt,0.1789
.NET程序设计A_mooc.txt,线性代数4.txt,0.3977
.NET程序设计A_mooc.txt,线性代数4_mooc.txt,0.4112
.NET程序设计A_mooc.txt,线性代数5.txt,0.1386
.NET程序设计A_mooc.txt,线性代数5_mooc.txt,0.2505
.NET程序设计A_mooc.txt,编译原理1.txt,0.2654
.NET程序设计A_mooc.txt,编译原理1_mooc.txt,0.3334
.NET程序设计A_mooc.txt,编译原理2.txt,0.2657
.NET程序设计A_mooc.txt,编译原理2_mooc.txt,0.2930
.NET程序设计A_mooc.txt,计算机导论.txt,0.2058
.NET程序设计A_mooc.txt,计算机导论_mooc.txt,0.1813
.NET程序设计A_mooc.txt,计算机网络A.txt,0.2825
.NET程序设计A_mooc.txt,计算机网络A_mooc.txt,0.1061
.NET程序设计A_mooc.txt,软件企业管理与文化.txt,0.2877
.NET程序设计A_mooc.txt,软件企业管理与文化_mooc.txt,0.3731
.NET程序设计A_mooc.txt,软件开发与测试实训.txt,0.3336
.NET程序设计A_mooc.txt,软件开发与测试实训_mooc.txt,0.1766
.NET程序设计A_mooc.txt,软件测试技术.txt,0.2603
.NET程序设计A_mooc.txt,软件测试技术_mooc.txt,0.1766
.NET程序设计A_mooc.txt,软件设计.txt,0.3441
.NET程序设计A_mooc.txt,软件设计_mooc.txt,0.3198
.NET程序设计A_mooc.txt,软件项目管理.txt,0.2046
.NET程序设计A_mooc.txt,软件项目管理_mooc.txt,0.2194
.NET程序设计A_mooc.txt,需求工程与UML建模.txt,0.2690
.NET程序设计A_mooc.txt,需求工程与UML建模_mooc.txt,-0.0078
.NET程序设计A_mooc.txt,面向对象程序设计C++（A）.txt,0.1928
.NET程序设计A_mooc.txt,面向对象程序设计C++（A）_mooc.txt,0.2467
.NET程序设计A_mooc.txt,高级语言程序设计与算法初步（C语言）.txt,0.1368
.NET程序设计A_mooc.txt,高级语言设计与算法初步（C语言）_mooc.txt,0.2777
.NET程序设计A_mooc.txt,高级软件工程.txt,0.1623
.NET程序设计A_mooc.txt,高级软件工程_mooc.txt,0.2621
CC++语言程序设计.txt,.NET程序设计A.txt,0.0587
CC++语言程序设计.txt,.NET程序设计A_mooc.txt,0.2168
CC++语言程序设计.txt,CC++语言程序设计.txt,0.7060
CC++语言程序设计.txt,CC++语言程序设计_mooc.txt,0.5715
CC++语言程序设计.txt,IT基础实训.txt,0.2688
CC++语言程序设计.txt,IT基础实训_mooc.txt,0.1631
CC++语言程序设计.txt,J2EE框架.txt,0.2474
CC++语言程序设计.txt,J2EE框架_mooc.txt,0.1585
CC++语言程序设计.txt,Java框架.txt,0.0166
CC++语言程序设计.txt,Java框架_mooc.txt,0.3055
CC++语言程序设计.txt,JAVA程序设计A.txt,0.1956
CC++语言程序设计.txt,JAVA程序设计A_mooc.txt,0.3055
CC++语言程序设计.txt,Linux程序设计.txt,0.2146
CC++语言程序设计.txt,Linux程序设计_mooc.txt,0.3087
CC++语言程序设计.txt,oracle数据库.txt,0.3322
CC++语言程序设计.txt,oracle数据库_mooc.txt,0.1434
CC++语言程序设计.txt,python语言程序设计.txt,0.3772
CC++语言程序设计.txt,python语言程序设计_mooc.txt,0.2446
CC++语言程序设计.txt,Visual C++程序设计.txt,0.2179
CC++语言程序设计.txt,Visual C++程序设计_mooc.txt,0.2535
CC++语言程序设计.txt,Web开发基础与JSP.txt,0.2728
CC++语言程序设计.txt,Web开发基础与JSP_mooc.txt,0.2791
CC++语言程序设计.txt,人机交互技术.txt,0.2534
CC++语言程序设计.txt,人机交互技术_mooc.txt,0.1984
CC++语言程序设计.txt,信息安全A.txt,0.3173
CC++语言程序设计.txt,信息安全A_mooc.txt,0.2396
CC++语言程序设计.txt,嵌入式开发环境与工具.txt,0.0421
CC++语言程序设计.txt,嵌入式开发环境与工具_mooc.txt,0.2475
CC++语言程序设计.txt,嵌入式系统开发.txt,0.1465
CC++语言程序设计.txt,嵌入式系统开发_mooc.txt,0.1315
CC++语言程序设计.txt,微机原理与接口技术.txt,0.2461
CC++语言程序设计.txt,微机原理与接口技术_mooc.txt,0.2718
CC++语言程序设计.txt,操作系统原理1.txt,0.2351
CC++语言程序设计.txt,操作系统原理1_mooc.txt,0.3007
CC++语言程序设计.txt,操作系统原理2.txt,0.2389
CC++语言程序设计.txt,操作系统原理2_mooc.txt,0.2029
CC++语言程序设计.txt,数字逻辑电路.txt,0.1836
CC++语言程序设计.txt,数字逻辑电路_mooc.txt,0.2491
CC++语言程序设计.txt,数据库原理与应用1.txt,0.3123
CC++语言程序设计.txt,数据库原理与应用1_mooc.txt,0.2370
CC++语言程序设计.txt,数据库原理与应用2.txt,0.0768
CC++语言程序设计.txt,数据库原理与应用2_mooc.txt,0.1414
CC++语言程序设计.txt,数据结构1.txt,0.3940
CC++语言程序设计.txt,数据结构1_mooc.txt,0.4393
CC++语言程序设计.txt,数据结构2.txt,0.3467
CC++语言程序设计.txt,数据结构2_mooc.txt,0.3660
CC++语言程序设计.txt,概率论与数理统计.txt,0.3870
CC++语言程序设计.txt,概率论与数理统计_mooc.txt,0.2334
CC++语言程序设计.txt,游戏程序设计.txt,0.2185
CC++语言程序设计.txt,游戏程序设计_mooc.txt,0.2585
CC++语言程序设计.txt,知识产权与软件保护.txt,0.1631
CC++语言程序设计.txt,知识产权与软件保护_mooc.txt,0.2399
CC++语言程序设计.txt,离散数学.txt,0.1704
CC++语言程序设计.txt,离散数学_mooc.txt,0.1828
CC++语言程序设计.txt,算法设计与分析.txt,0.1180
CC++语言程序设计.txt,算法设计与分析_mooc.txt,0.2332
CC++语言程序设计.txt,线性代数1.txt,0.2808
CC++语言程序设计.txt,线性代数1_mooc.txt,0.2948
CC++语言程序设计.txt,线性代数2.txt,0.2036
CC++语言程序设计.txt,线性代数2_mooc.txt,0.1232
CC++语言程序设计.txt,线性代数3.txt,0.1357
CC++语言程序设计.txt,线性代数3_mooc.txt,0.2510
CC++语言程序设计.txt,线性代数4.txt,0.2081
CC++语言程序设计.txt,线性代数4_mooc.txt,0.3143
CC++语言程序设计.txt,线性代数5.txt,0.0655
CC++语言程序设计.txt,线性代数5_mooc.txt,0.3772
CC++语言程序设计.txt,编译原理1.txt,0.0800
CC++语言程序设计.txt,编译原理1_mooc.txt,0.2245
CC++语言程序设计.txt,编译原理2.txt,0.1733
CC++语言程序设计.txt,编译原理2_mooc.txt,0.2005
CC++语言程序设计.txt,计算机导论.txt,0.3321
CC++语言程序设计.txt,计算机导论_mooc.txt,0.3721
CC++语言程序设计.txt,计算机网络A.txt,0.1924
CC++语言程序设计.txt,计算机网络A_mooc.txt,0.2109
CC++语言程序设计.txt,软件企业管理与文化.txt,0.2927
CC++语言程序设计.txt,软件企业管理与文化_mooc.txt,0.2256
CC++语言程序设计.txt,软件开发与测试实训.txt,0.1467
CC++语言程序设计.txt,软件开发与测试实训_mooc.txt,0.3291
CC++语言程序设计.txt,软件测试技术.txt,0.1454
CC++语言程序设计.txt,软件测试技术_mooc.txt,0.3291
CC++语言程序设计.txt,软件设计.txt,0.2630
CC++语言程序设计.txt,软件设计_mooc.txt,0.1975
CC++语言程序设计.txt,软件项目管理.txt,0.3262
CC++语言程序设计.txt,软件项目管理_mooc.txt,0.3057
CC++语言程序设计.txt,需求工程与UML建模.txt,0.2465
CC++语言程序设计.txt,需求工程与UML建模_mooc.txt,0.1297
CC++语言程序设计.txt,面向对象程序设计C++（A）.txt,0.5361
CC++语言程序设计.txt,面向对象程序设计C++（A）_mooc.txt,0.3025
CC++语言程序设计.txt,高级语言程序设计与算法初步（C语言）.txt,0.1740
CC++语言程序设计.txt,高级语言设计与算法初步（C语言）_mooc.txt,0.2045
CC++语言程序设计.txt,高级软件工程.txt,0.2924
CC++语言程序设计.txt,高级软件工程_mooc.txt,0.3743
CC++语言程序设计_mooc.txt,.NET程序设计A.txt,0.0305
CC++语言程序设计_mooc.txt,.NET程序设计A_mooc.txt,0.1484
CC++语言程序设计_mooc.txt,CC++语言程序设计.txt,0.4293
CC++语言程序设计_mooc.txt,CC++语言程序设计_mooc.txt,0.7040
CC++语言程序设计_mooc.txt,IT基础实训.txt,0.1327
CC++语言程序设计_mooc.txt,IT基础实训_mooc.txt,0.2061
CC++语言程序设计_mooc.txt,J2EE框架.txt,0.2531
CC++语言程序设计_mooc.txt,J2EE框架_mooc.txt,0.2472
CC++语言程序设计_mooc.txt,Java框架.txt,0.2706
CC++语言程序设计_mooc.txt,Java框架_mooc.txt,0.2626
CC++语言程序设计_mooc.txt,JAVA程序设计A.txt,0.2556
CC++语言程序设计_mooc.txt,JAVA程序设计A_mooc.txt,0.2626
CC++语言程序设计_mooc.txt,Linux程序设计.txt,0.1167
CC++语言程序设计_mooc.txt,Linux程序设计_mooc.txt,0.0312
CC++语言程序设计_mooc.txt,oracle数据库.txt,0.1231
CC++语言程序设计_mooc.txt,oracle数据库_mooc.txt,0.0400
CC++语言程序设计_mooc.txt,python语言程序设计.txt,0.3397
CC++语言程序设计_mooc.txt,python语言程序设计_mooc.txt,0.3877
CC++语言程序设计_mooc.txt,Visual C++程序设计.txt,0.1779
CC++语言程序设计_mooc.txt,Visual C++程序设计_mooc.txt,0.4199
CC++语言程序设计_mooc.txt,Web开发基础与JSP.txt,0.3489
CC++语言程序设计_mooc.txt,Web开发基础与JSP_mooc.txt,0.1659
CC++语言程序设计_mooc.txt,人机交互技术.txt,0.2469
CC++语言程序设计_mooc.txt,人机交互技术_mooc.txt,0.1475
CC++语言程序设计_mooc.txt,信息安全A.txt,0.1043
CC++语言程序设计_mooc.txt,信息安全A_mooc.txt,0.0066
CC++语言程序设计_mooc.txt,嵌入式开发环境与工具.txt,0.0675
CC++语言程序设计_mooc.txt,嵌入式开发环境与工具_mooc.txt,-0.0749
CC++语言程序设计_mooc.txt,嵌入式系统开发.txt,-0.0883
CC++语言程序设计_mooc.txt,嵌入式系统开发_mooc.txt,0.1031
CC++语言程序设计_mooc.txt,微机原理与接口技术.txt,0.0811
CC++语言程序设计_mooc.txt,微机原理与接口技术_mooc.txt,0.1585
CC++语言程序设计_mooc.txt,操作系统原理1.txt,0.1415
CC++语言程序设计_mooc.txt,操作系统原理1_mooc.txt,0.3661
CC++语言程序设计_mooc.txt,操作系统原理2.txt,0.1649
CC++语言程序设计_mooc.txt,操作系统原理2_mooc.txt,0.3008
CC++语言程序设计_mooc.txt,数字逻辑电路.txt,0.0957
CC++语言程序设计_mooc.txt,数字逻辑电路_mooc.txt,0.2697
CC++语言程序设计_mooc.txt,数据库原理与应用1.txt,0.1849
CC++语言程序设计_mooc.txt,数据库原理与应用1_mooc.txt,0.2176
CC++语言程序设计_mooc.txt,数据库原理与应用2.txt,0.2771
CC++语言程序设计_mooc.txt,数据库原理与应用2_mooc.txt,0.2549
CC++语言程序设计_mooc.txt,数据结构1.txt,0.2242
CC++语言程序设计_mooc.txt,数据结构1_mooc.txt,0.0603
CC++语言程序设计_mooc.txt,数据结构2.txt,0.3449
CC++语言程序设计_mooc.txt,数据结构2_mooc.txt,0.3478
CC++语言程序设计_mooc.txt,概率论与数理统计.txt,0.1028
CC++语言程序设计_mooc.txt,概率论与数理统计_mooc.txt,0.1136
CC++语言程序设计_mooc.txt,游戏程序设计.txt,0.3061
CC++语言程序设计_mooc.txt,游戏程序设计_mooc.txt,0.3989
CC++语言程序设计_mooc.txt,知识产权与软件保护.txt,0.2167
CC++语言程序设计_mooc.txt,知识产权与软件保护_mooc.txt,0.1221
CC++语言程序设计_mooc.txt,离散数学.txt,0.2091
CC++语言程序设计_mooc.txt,离散数学_mooc.txt,0.2728
CC++语言程序设计_mooc.txt,算法设计与分析.txt,0.1947
CC++语言程序设计_mooc.txt,算法设计与分析_mooc.txt,0.2548
CC++语言程序设计_mooc.txt,线性代数1.txt,0.0422
CC++语言程序设计_mooc.txt,线性代数1_mooc.txt,0.0116
CC++语言程序设计_mooc.txt,线性代数2.txt,0.3064
CC++语言程序设计_mooc.txt,线性代数2_mooc.txt,0.1575
CC++语言程序设计_mooc.txt,线性代数3.txt,0.1659
CC++语言程序设计_mooc.txt,线性代数3_mooc.txt,0.0149
CC++语言程序设计_mooc.txt,线性代数4.txt,0.0717
CC++语言程序设计_mooc.txt,线性代数4_mooc.txt,0.0752
CC++语言程序设计_mooc.txt,线性代数5.txt,0.0003
CC++语言程序设计_mooc.txt,线性代数5_mooc.txt,-0.0457
CC++语言程序设计_mooc.txt,编译原理1.txt,0.2823
CC++语言程序设计_mooc.txt,编译原理1_mooc.txt,0.0919
CC++语言程序设计_mooc.txt,编译原理2.txt,0.2005
CC++语言程序设计_mooc.txt,编译原理2_mooc.txt,0.3303
CC++语言程序设计_mooc.txt,计算机导论.txt,0.0776
CC++语言程序设计_mooc.txt,计算机导论_mooc.txt,0.1586
CC++语言程序设计_mooc.txt,计算机网络A.txt,0.1177
CC++语言程序设计_mooc.txt,计算机网络A_mooc.txt,-0.0025
CC++语言程序设计_mooc.txt,软件企业管理与文化.txt,0.1032
CC++语言程序设计_mooc.txt,软件企业管理与文化_mooc.txt,0.2456
CC++语言程序设计_mooc.txt,软件开发与测试实训.txt,0.1349
CC++语言程序设计_mooc.txt,软件开发与测试实训_mooc.txt,0.2460
CC++语言程序设计_mooc.txt,软件测试技术.txt,0.2078
CC++语言程序设计_mooc.txt,软件测试技术_mooc.txt,0.2460
CC++语言程序设计_mooc.txt,软件设计.txt,0.0574
CC++语言程序设计_mooc.txt,软件设计_mooc.txt,0.0657
CC++语言程序设计_mooc.txt,软件项目管理.txt,0.1759
CC++语言程序设计_mooc.txt,软件项目管理_mooc.txt,0.1089
CC++语言程序设计_mooc.txt,需求工程与UML建模.txt,0.1083
CC++语言程序设计_mooc.txt,需求工程与UML建模_mooc.txt,0.0637
CC++语言程序设计_mooc.txt,面向对象程序设计C++（A）.txt,0.2123
CC++语言程序设计_mooc.txt,面向对象程序设计C++（A）_mooc.txt,0.5702
CC++语言程序设计_mooc.txt,高级语言程序设计与算法初步（C语言）.txt,0.0690
CC++语言程序设计_mooc.txt,高级语言设计与算法初步（C语言）_mooc.txt,0.3511
CC++语言程序设计_mooc.txt,高级软件工程.txt,0.0657
CC++语言程序设计_mooc.txt,高级软件工程_mooc.txt,0.3045
IT基础实训.txt,.NET程序设计A.txt,0.3183
IT基础实训.txt,.NET程序设计A_mooc.txt,0.3594
IT基础实训.txt,CC++语言程序设计.txt,0.3157
IT基础实训.txt,CC++语言程序设计_mooc.txt,0.3935
IT基础实训.txt,IT基础实训.txt,0.5625
IT基础实训.txt,IT基础实训_mooc.txt,0.2861
IT基础实训.txt,J2EE框架.txt,0.4130
IT基础实训.txt,J2EE框架_mooc.txt,0.3104
IT基础实训.txt,Java框架.txt,0.3631
IT基础实训.txt,Java框架_mooc.txt,0.4152
IT基础实训.txt,JAVA程序设计A.txt,0.2552
IT基础实训.txt,JAVA程序设计A_mooc.txt,0.4152
IT基础实训.txt,Linux程序设计.txt,0.2348
IT基础实训.txt,Linux程序设计_mooc.txt,0.2847
IT基础实训.txt,oracle数据库.txt,0.2504
IT基础实训.txt,oracle数据库_mooc.txt,0.2783
IT基础实训.txt,python语言程序设计.txt,0.2772
IT基础实训.txt,python语言程序设计_mooc.txt,0.3714
IT基础实训.txt,Visual C++程序设计.txt,0.2429
IT基础实训.txt,Visual C++程序设计_mooc.txt,0.5590
IT基础实训.txt,Web开发基础与JSP.txt,0.2491
IT基础实训.txt,Web开发基础与JSP_mooc.txt,0.2128
IT基础实训.txt,人机交互技术.txt,0.2360
IT基础实训.txt,人机交互技术_mooc.txt,0.2919
IT基础实训.txt,信息安全A.txt,0.5123
IT基础实训.txt,信息安全A_mooc.txt,0.2128
IT基础实训.txt,嵌入式开发环境与工具.txt,0.3151
IT基础实训.txt,嵌入式开发环境与工具_mooc.txt,0.2793
IT基础实训.txt,嵌入式系统开发.txt,0.2510
IT基础实训.txt,嵌入式系统开发_mooc.txt,0.3011
IT基础实训.txt,微机原理与接口技术.txt,0.3925
IT基础实训.txt,微机原理与接口技术_mooc.txt,0.3777
IT基础实训.txt,操作系统原理1.txt,0.3146
IT基础实训.txt,操作系统原理1_mooc.txt,0.4354
IT基础实训.txt,操作系统原理2.txt,0.4237
IT基础实训.txt,操作系统原理2_mooc.txt,0.4132
IT基础实训.txt,数字逻辑电路.txt,0.3443
IT基础实训.txt,数字逻辑电路_mooc.txt,0.2971
IT基础实训.txt,数据库原理与应用1.txt,0.2597
IT基础实训.txt,数据库原理与应用1_mooc.txt,0.2839
IT基础实训.txt,数据库原理与应用2.txt,0.2367
IT基础实训.txt,数据库原理与应用2_mooc.txt,0.4327
IT基础实训.txt,数据结构1.txt,0.1435
IT基础实训.txt,数据结构1_mooc.txt,0.3667
IT基础实训.txt,数据结构2.txt,0.3938
IT基础实训.txt,数据结构2_mooc.txt,0.3618
IT基础实训.txt,概率论与数理统计.txt,0.4284
IT基础实训.txt,概率论与数理统计_mooc.txt,0.3310
IT基础实训.txt,游戏程序设计.txt,0.4582
IT基础实训.txt,游戏程序设计_mooc.txt,0.3171
IT基础实训.txt,知识产权与软件保护.txt,0.3148
IT基础实训.txt,知识产权与软件保护_mooc.txt,0.1702
IT基础实训.txt,离散数学.txt,0.3591
IT基础实训.txt,离散数学_mooc.txt,0.3472
IT基础实训.txt,算法设计与分析.txt,0.1941
IT基础实训.txt,算法设计与分析_mooc.txt,0.3908
IT基础实训.txt,线性代数1.txt,0.3719
IT基础实训.txt,线性代数1_mooc.txt,0.4737
IT基础实训.txt,线性代数2.txt,0.4387
IT基础实训.txt,线性代数2_mooc.txt,0.3796
IT基础实训.txt,线性代数3.txt,0.4028
IT基础实训.txt,线性代数3_mooc.txt,0.2054
IT基础实训.txt,线性代数4.txt,0.3845
IT基础实训.txt,线性代数4_mooc.txt,0.3309
IT基础实训.txt,线性代数5.txt,0.2175
IT基础实训.txt,线性代数5_mooc.txt,0.4102
IT基础实训.txt,编译原理1.txt,0.3393
IT基础实训.txt,编译原理1_mooc.txt,0.4283
IT基础实训.txt,编译原理2.txt,0.3932
